identifier,the_geom,name,location_dataset_identifer,varia,historical_evidence,location_link_type,date_range,change,type_identifier
35,"52.2478133163207, 21.02822629569565",spichlerz zbożowy na Skaryszewie,#Perthees,"Uwaga: na planie Pertheesa jest zaznaczony Skaryszew, spichlerze znajdowały się gdzieś blisko brzegu Wisły",,przybliżona,1643,przybliżona,
36,"52.24396857898773, 21.021288712173188",cegielnia miejska Starej Warszawy,#Mrozowski_2020,Uwaga: prawdopodobne położenie ukazane na Planie nr 9 s. 107,,przybliżona,,przybliżona,
37,"52.245374017741064, 21.022634988705338",przystań miejska Starej Warszawy,#Mrozowski_2020,Uwaga: prawdopodobne położenie ukazane na Planie nr 9 s. 107,,przybliżona,,powstanie,
38,"52.251844588418436, 21.03082724008169",kościół św. Michała Archanioła i Floriana,#GoogleMaps,,,dokładnie,1888-2000,,
39,"52.22273147313137, 21.01977618464994",Mokotowska,,Czy takie określenie lokalizacji jest poprawne?,,dokładnie,XIV w - 2000,,
40,"52.238100755089185, 21.010635518811753","Kamienica zboru luterańskiego, nr hip. 1066J (Kredytowa 4)",#GoogleMaps,,,,1911-2000,,
41,"52.23845190722721, 21.010877293117264","Dom parafialny zboru luterańskiego, nr hip. 1066J (Plac Ewangelicki)",#Fotomapa1935,,,przybliżona,1912-1944,zabudowanie,
42,"52.226299675701036, 21.005056457786562","Ogród pomologiczny, nr hip. 1600A",#Lindley,"Położony między ul. Wspólną, Nowogrodzką, Leopoldyny (E. Plater) i Teodora (Chałubińskiego)",,dookoła,1870-ok. 1936,,
43,"52.23728815274099, 21.01000653183161","Pałac Szlenkierów, nr hip. 5294",#GoogleMaps,,,dokładnie,1883-2000,,
44,"52.22501798356567, 20.989582549994676","Rogatki jerozolimskie, nr hip. 1582F",#Lindley,,,przybliżona,ok. 1818-1942,,
45,"52.24257954434774, 21.017115120566146",Rotunda na Karowej (teren obecnej ul. Karowej 18a),#Lindley,,,dokładnie,1897-1939,,
46,"52.239244, 21.022134",Rotunda na Dynasach,#GoogleMaps,,,dokładnie,1896-2000,,
47,"52.24142860372724, 21.02519130870737",Miejska Fabryka Betonu ul. Dobra 72,#Lindley,,,dokładnie,ok. 1897-1907,,
48,"52.26331058316724, 21.050856071052756",Stacja Warszawa Stalowa,#Fotomapa1935,,,dokładnie,1901-1995,,
49,"52.25887944977987, 21.059582945360745",Bazylika na Kawęczyńskiej,#Fotomapa1935,,,dokładnie,1923-2000,,
50,"52.259414662266934, 21.057474729027064",Szkoła (ul. Otwocka),#Fotomapa1935,,,dokładnie,1926-2000,,
51,"52.241165, 21.012682",Sobór św. Aleksandra Newskiego na Pl. Saskim,#Lindley,,,przybliżona,1894-1926,,
52,"52.24062638411823, 21.018540750077108",kampus UW przy Krakowskim Przedmieściu,#Lindley,,,przybliżona,1869-1917,,
53,"52.23791889182027, 21.01809453202634",Pałac Staszica,#GoogleMaps,,,dokładnie,1820-2000,powstanie,
54,"52.24935910656511, 21.013318306179304","budynki pojezuickie na Starym Mieście, dawny Wydział Lekarski UW",,,,przybliżona,1857,,
55,"52.2256811355311, 21.028325911245236",Aleksandryjsko-Maryjski Instytut Wychowania Panien (dawny Instytut Szlachecki) ul. Wiejska 6/8,,,,przybliżona,1851-1918,,
56,"52.24084963268228, 21.020307226587303",Pałac Kazimierzowski,#GoogleMaps,,,dokładnie,,,
57,"52.23954196986328, 21.01856065604423",Budynek Pomuzealny UW,#GoogleMaps,,,dokładnie,,,
58,"52.250551725206, 21.00961916414927",Szpital św. Ducha,,,,przybliżona,1388-1821,,
59,"52.25045812687483, 21.010536479671806",Brama Nowomiejska,,,,przybliżona,pierwsza połowa XIV wieku-XX wiek,,
60,"52.25065230214322, 21.009143072071787",Kościół św. Ducha,#Lindley,,,dokładnie,1388-2000,,
61,"52.250481526479305, 21.009011643824405",Klasztor paulinów,#Plan1808,,,dokładnie,1662-1807,,
62,"52.25019498313577, 21.010934787708283",Ulica Nowomiejska,#Plan1768,,,dokładnie,1300-1825,,
63,"52.2501949831357, 21.01093478770828",Ulica Nowomiejska,#Lindley,,,dokładnie,1825-2000,,
64,"52.250817329928665, 21.00976802677931",Łaźnia przy Bramie Nowomiejskiej,,,,prawdopodobna,1376,,
65,"52.248838598136985, 21.010261553244913",Pierwsza linia murów miejskich,,,,dokładnie,1325,,
66,"52.24878132205401, 21.0100798352685",Druga linia murów miejskich,,Od Bramy Krakowskiej do Wieży Marszałkowskiej,,dokładnie,1450,,
67,"52.2506225019082, 21.010155711140786",Barbakan,,,,dokładnie,1548-1800,,
68,"52.24974809013082, 21.01029518601187",Szeroki Dunaj,#Lindley,,,dokładnie,1300-2000,,
69,"52.249510805464894, 21.010751161557437",Łaźnia wójtowska,,,,prawdopodobna,1408-1552,,
70,"52.249624111102214, 21.010858449922647",Wąski Dunaj,#Lindley,"MSM: Kasia, od rynku do Szerokiego Dunaju i do parceli, na której stała synagoga (zob. niżej ""synagoga średniowieczna"")",,dokładnie,1300-1530,,
217,"52.249624111102214, 21.010858449922647",Wąski Dunaj,#Lindley,"MSM: Kasia, od rynku do fortyfikacji",,dokładnie,1530-1655,,
246,"52.249624111102214, 21.010858449922647",Wąski Dunaj,#Lindley,"MSM: Kasia, przed 1655 wybudowano kamienicę, którą poszerzono, więc Wąski zrobił się węższy, tak, jak to jest dzisiaj!",,dokładnie,1655-1804,,
218,"52.249624111102214, 21.010858449922647",Wąski Dunaj,#Lindley,"MSM: Kasia, od rynku do Podwala",,dokładnie,1804-2000,,
71,"52.24911423345034, 21.00981507058835",Brama Poboczna,,,,przybliżona,1617-1804,,
72,"52.25073699715617, 21.01134382023915",Krzywe Koło,#Lindley,,,dokładnie,1300-2000,,
73,"52.25136097839556, 21.009318752429305",Kościół św. Jacka,#Lindley,,,dokładnie,1606-1944,,
74,"52.2518806823811, 21.009953094863114",Klasztor dominikanów,#Lindley,,,dokładnie,1606-2000,,
75,"52.25173782596747, 21.009544057986144",Zespół klasztorny dominikanów,#Lindley,,,dokładnie,1606-2000,,
76,"52.249792352214676, 21.011320471606787","Kamienica ""Pod świętą Anną""",#Lindley,,,dokładnie,1466-2000,,
77,"52.25070521631351, 21.010189609986327","""Piwnica Gdańska""",#Lindley,,,dokładnie,1818-1944,,
78,"52.25153691626514, 21.0082798771660",Freta,#Lindley,Od Mostowej do Rynku Nowego Miasta,,dokładnie,1300-1408,,
79,"52.25153691626514, 21.00827987716609",Freta,#Lindely,Od Mostowej do Świętojerskiej,,dokładnie,1408-1791,,
80,"52.25153691626514, 21.008279877166",Freta,#Lindley,Od Mostowej do Rynku Nowego Miasta,,dokładnie,1791-2000,,
81,"52.25204758708843, 21.0078976623851",Freta Nowomiejskie,#Lindley,Od Świętojerskiej do Rynku Nowego Miasta,,dokładnie,1408-1791,,
119,"52.250865615363665, 21.009117930037608",Północne przedmieście Starej Warszawy,#Lindley,"Obejmuje tereny późniejszego Nowego Miasta (do Wójtowskiej?), do Wisły, bez jurydyki świętojerskiej, na zachodzie nie wiem. :(",,przybliżona,1300-1408,,
82,"52.250865615363665, 21.00911793003760",Północne przedmieście Starej Warszawy,#Lindley,"Na północ do granic Nowej Warszawy, tj. do Świętojerskiej i ulicy zatylniej, na wschód do Wisły wzdłuż dzisiejszej Mostwowej i Boleści, na południe oczywiście mury miejskie, na zachodnie nie wiem. :(",,dokładnie,1408-1791,,
83,"52.252982749574194, 21.008326339498016",Nowa Warszawa,#Lindley,"Na południu granicą między NW a przedmieściem Starej Warszawy była linia od Świętojerskiej i uliczki zatylnej do Wisły. Na wschodzie skarpa wiślana!. Na zachodzie ul. Koźla. Na północy układu urbanistycznego była ul. Wójtowska, ale na północ od niej znajdowały się role mieszczańskie, więc dałbym granice do dzisiejszej ul. Wenedów, ale tak mniej więcej.",,dokładnie,1408-1791,,
84,"52.252059944813695, 21.008991527320315",Ulica zatylna za południową pierzeją rynku Nowego Miasta,#AHPMazowsze,Od Świętojerskiej do Starej. Jest na kilku planach rekonstrukcyjnych Nowej Warszawy.,,prawdopodobna,1408-1650,,
85,"52.25280213094547, 21.008117127123352",Rynek Nowego Miasta,#Lindley,"Prostokąt, którego boki stanowią dzisiejsze Freta i Kościelna też.",,dokładnie,1408-1688,zmiana,
95,"52.25280213094547, 21.00811712712335",Rynek Nowego Miasta,#Lindley,"W 1688 powstał kościół sakramentek, który wbił się ponad linię wschodniej pierzei.",,dokładnie,1688-1830,zmiana,
94,"52.25280213094547, 21.0081171271233",Rynek Nowego Miasta,#Lindley,"Zmiana, granice południowa i wschodnia jak były, natomiast ukośna linia bloku zabudowy była już granicą rynku, działki wychodzące na Kościelną i Freta nie należały już do rynku. W razie niejasności - kontakt.",,dokładnie,1830-2000,,
86,"52.252148613719605, 21.007151531902206",Hala Świętojerska,#Fotomapa1935,,,dokładnie,1913-1944,,
87,"52.25113055262903, 21.00295655698398",Jurydyka Świętojerska,,"Jurydyka w granicach współczesnych Koźlej, Świętojerskiej, Wałowej i Franciszkańskiej",,przybliżona,1350-1791,,
88,"52.25217816997082, 20.98417036507179",Jurydyka Parysowska,,,,przybliżona,1600-1791,,
89,"52.25237521121917, 20.984052347870062",Plac Parysowski,#Lindley,,,dokładnie,1600-1943,,
90,"52.24760501997195, 21.010162725437123",Jurydyka Zadzikowska,,,,przybliżona,1638-1791,,
91,"52.24766742289438, 21.010227098456248",Ulica Kapitulna,#Lindley,,,dokładnie,1638-2000,,
92,"52.245883978423315, 21.001295342357515",Arsenał,#Lindley,,,dokładnie,1643-2000,,
93,"52.246166444012545, 21.002159013697447",Zespół klasztorny brygidek; Koszary po klasztorze brygidek,#Fotoplan1935,,,dokładnie,1615-1892,,
120,"52.246166444012545, 21.00215901369744",Pasaż Simmonsa,#Fotoplan1935,,,dokładnie,1903-1944,,
121,"52.246166444012545, 21.0021590136974",Klasztor brygidek,,,,przybliżona,1615-1892,,
122,"52.246166444012545, 21.002159013697",Kościół Św. Trójcy,,,,przybliżona,1615-1892,,
190,"52.258758, 20.995367",Dworzec Gdański,,,,przybliżona,1880-2000,,
191,"52.254592514935624, 20.98936796816927",Plac Broni,"Plan Warszawy, Wyd. M. Arcta [1920]","kwadratu o boku 420 metrów: jego obszar wyznaczony był przebiegiem ulic: Stawki (od południa), Pokornej (od wschodu) oraz Dzikiej (od północy).",15.0,przybliżona,1824-1945,,
96,"52.233730531103376, 21.01055892371011","Dom firmy Gebethner i Wolff, nr hip. 6391",#Fotoplan1935,,,przybliżona,1906-koniec lat 1950-tych,,
97,"52.23758561997814, 21.009777521153445","Kamienica Goldstanda, nr hip. 1066C",#GoogleMaps,,,dokładnie,1916-po 1945,obniżenie,
123,"52.23758561997814, 21.009777521153445","Kamienica Goldstanda, nr hip. 1066C",#GoogleMaps,,,dokładnie,po 1945-2000,,
98,"52.22714990480268, 20.988840695471286","Zakłady metalurgiczne Hantkego, nr hip. 1147K",#Lindley,,,przybliżona,1870-1944,,
99,"52.237423366147155, 20.981047536855506","Browar Hermana Junga, nr hip. 849",#Lindley,,,przybliżona,1784-1944,,
100,"52.2355812231545, 20.980690161199597",Rogatki wolskie,#Lindley,,,przybliżona,1818-1942,,
101,"52.2151723770801, 21.03584618435141",pawilon Łaźni Łazienki,,,,dokładna,1683-2000,,
102,"52.215090207828574, 21.035148810023923",pawilon Łaźni Łazienki zachodnie skrzydło,,,,dokładna,1775-2000,,
103,"52.260410710533776, 20.993060298074422",Fort Mierosławskiego,#Fotoplan1935,,54.0,dokładna,1854-1935,,
104,"52.26442111389911, 21.000722411342153",Cytadela Warszawska,,,,dokładna,1834-2000,,
105,"52.24379222599044, 21.010259457018975",Teatr Wielki,#Lindley,,,dokładnie,1833-1939,,
106,"52.241279, 21.005720",Teatr Letni,#Lindley,,,dokładnie,1870-1939,,
107,"52.243949888862566, 21.009245581713348",Marywil,#Plan1808,,,dokładnie,1695-1820,,
108,"52.24400244302698, 21.01105339066713",Pałac Pociejów; Targowisko Pociejów; Dom pod Kolumnami,#KorpusKadetow,,,dokładnie,1818-1825,,
109,"52.243135291335875, 21.007362670927236",Galeria Luxenburga,#Fotoplan1935,,,dokładnie,1909-1939,,
110,"52.24417324362816, 21.01113922130464",Pociejów,,"nie wiem :( te jurydyki warszawskie są mega nieostre w swych granicach, przynajmniej na podstawie informacji z netu. Ale to chyba było między Senatorską, Nowosenatorską, Trębacką i Marywilem.",,przybliżona,-1791,,
111,"52.24417324362816, 21.01113922130464",Plac Pociejów,#Plan1808,,,dokładnie,1808-1819,,
112,"52.243949888862566, 21.009245581713348",Marywil,#KorpusKadetów,W 1822-23 poszerzony do Trębackiej,,dokładnie,1820-1825,,
113,"52.24447871230064, 21.010661788079457",Plac Aleksandrowski,#KorpusKadetów,,,dokładnie,1819-1825,,
114,"52.24418638210896, 21.009808845576043",Plac Teatralny,#Lindley,,,dokładnie,1825-2000,,
115,"52.237621343550906, 21.009127659470373",Targowisko Pociejów,#KorpusKadetów,,,przybliżona,1816-1864,,
116,"52.23642883414449, 21.006230873752283",Targowisko Pociejów,#Lindley,,,przybliżona,1864-1939,,
117,"52.244738, 21.009120",Pałac Jabłonowskich,#Plan1808,,,dokładnie,1819-1939,,
124,"52.24353452325097, 20.99055728568058",Nowolipie,#Lindley,"MSM: Kasia, granice przybliżone: między dzisiejszymi Nowolipkami a Nowolipiem, tam na końcu, przypuszczam, że jurydyka mogła ciągnąć się do Okopowej. na wschodzie też nie wiem, może wyrysuj granicę na dzisiejszej Andersa",,przybliżona,1615-1791,,
125,"52.24191994958461, 20.993704986538134",Leszno (jurydyka),#Lindley,"MSM: na zachodzie podobno do Żelaznej, na wschodzie do Bielańskiej. Nie wiem, jak z północną i południową granicą, przypuszczam, że na północ do granicy z Nowolipiem, zaś na południe nie wiem... ;(",,przybliżona,1648-1749,,
126,"52.24191994958461, 20.993704986538134",Leszno (jurydyka),#Lindley,"MSM: na zachodzie podobno do Żelaznej, na wschodzie do Rymarskiej (jest na Linleyu, dzisiaj to zachodnia część Placu Bankowego). Nie wiem, jak z północną i południową granicą, przypuszczam, że na północ do granicy z Nowolipiem, zaś na południe nie wiem... ;(",,przybliżona,1749-1791,,
127,"52.24475134610973, 21.002277326547432",Tłomackie,#Lindley,"MSM: Kasia, od zachodu Rymarska/granica z Lesznem, od północy Długa, od zachodu Bielańska, od południa - nie wiem. :(",,przybliżona,1749-1791,,
128,"52.242327, 20.995928",Ratusz Leszna,#Lindley,,,dokładnie,1648-1791,,
129,"52.242425, 20.996195",Kamienica Jacobsona,#Lindley,,,dokładnie,1780-2000,,
130,"52.24466133247838, 21.002193978158868",Gruba Kaśka,#Lindley,MSM: jest tam taka kropka mała. :),,dokładnie,1787-2000,,
131,"52.243909, 21.002623",Wielka Synagoga,#Lindley,,,dokładnie,1878-1943,,
132,"52.244386, 21.002234",Plac Tłomackie,#Lindley,,,dokładnie,1749-1944,,
133,"52.24440024141326, 21.002827156461432",Gmach Głównej Biblioteki Judaistycznej,#GoogleMaps,,,dokładnie,1936-2000,,
134,"52.238795885851935, 20.99709944131609",Koszary Mirowskie,#KorpusKadetów,,,dokładnie,1732-1898,,
135,"52.238565933943065, 20.995232623825583",Koszary Mirowskie,,"MSM: na zachodzie tak, jak było, na wschodzie gdzieś do współczesnej Jana Pawła",,dokładnie,1898-1944,,
136,"52.238795885851935, 20.99709944131609",Plac Mirowski,#KorpusKadetów,"MSM: tak, jak Koszary Mirowskie, ale szerzej, bo Koszary Mirowskie znajdowały się na placu Mirowskim. Chyba.",,dokładnie,1730-1944,,
137,"52.240523772098385, 21.008429092305708",Ogród Saski,#Plan1808,,,dokładnie,1727-1821,,
138,"52.240523772098385, 21.008429092305708",Ogród Saski,#Fotoplan1935,"MSM: w 1935 przebito Marszałkowską do Placu Żelaznej Bramy i Żabiej. Ją widać, jakby co, to kontakt.",,dokładnie,1935-1939,,
139,"52.23831338273693, 21.006129089965782",Operalnia,#Plan1768,,,dokładnie,1748-1772,,
140,"52.24229419906147, 21.004982946625987",Pałac Błękitny,#Lindley,,,dokładnie,1700-2000,,
141,"52.239537, 21.003322",Żelazna Brama,#Plan1768,,,dokładnie,1735-1821,,
142,"52.240523772098385, 21.008429092305708",Ogród Saski,#Lindley,"MSM: Tam, gdzie była Żelazna Brama cofnięto trochę ogrodzenie.",,dokładnie,1821-1935,,
143,"52.2258433, 20.9601870","Elewator 2, Miejskie Elewatory Zbożowe, ul. Bema 60a",#GoogleMaps,,,,1892-1939,,
144,"52.2258433, 20.9601870","Elewator 3, Miejskie Elewatory Zbożowe, ul. Bema 60a",#GoogleMaps,,,,1892-1939,,
145,"52.244738, 21.009120",Ratusz Warszawy,#Lindley,,,dokładnie,1819-1939,,
146,"52.24925191127749, 21.00384239828338",Pałac Krasińskich,#Plan1768,,,dokładnie,1695-1765,,
147,"52.24925191127749, 21.00384239828338",Pałac Rzeczypospolitej,#Plan1768,,,dokładnie,1765-1795,,
148,"52.24925191127749, 21.00384239828338",Pałac Krasińskich,#KorpusKadetów,,,dokładnie,1795-1863,,
149,"52.24925191127749, 21.00384239828338",Pałac Sądów(?),#Lindley,,,dokładnie,1863-1917,,
150,"52.24925191127749, 21.00384239828338",Sąd Najwyższy,#Fotoplan1935,,,dokładnie,1917-1939,,
151,"52.248835, 21.004942",Pałac Badenich,#Lindley,,,dokładnie,1838-1875,,
152,"52.248835, 21.004942",Muzeum Przemysłu i Rolnictwa w Warszawie,#Lindley,,,dokładnie,1875-1881,,
153,"52.248835, 21.004942",Sąd Apelacyjny,#Fotoplan1935,,,dokładnie,1918-1939,,
154,"52.24856878311388, 21.002072140257425",Ogród Krasińskich,#Lindley,,,dokładnie,1695-2000,,
155,"52.249549, 21.004411",Plac Krasińskich,#Lindley,,,dokładnie,1765-2000,,
156,"52.24925191127749, 21.00384239828338",Założenie pałacowe Pałacu Krasińskich,#Plan1808,"MSM: Kasia, obejmuje pałac Krasińskich, ogród i późniejszy plac",,dokładnie,1695-1765,,
157,"52.248509, 21.005438",Komora Celna,#KorpusKadetów,,,dokładnie,1786-1831,,
158,"52.248509, 21.005438",Archiwum Główne Królestwa Polskiego,#Lindley,,,dokładnie,1831-1889,,
159,"52.248509, 21.005438",Warszawskie Archiwum Główne Akt Dawnych Królestwa Polskiego,#Lindley,,,dokładnie,1889-1918,,
160,"52.248509, 21.005438",Archiwum Główne Akt Dawnych,#Fotoplan1935,,,dokładnie,1918-1939,,
161,"52.245848, 21.014239",Muzeum Przemysłu i Rolnictwa w Warszawie,#Fotoplan1935,,,dokładnie,1881-1939,zniszczenie,
162,"52.248906544967596, 21.00696913967686",Kościół pijarów pw. Matki Bożej Zwycięskiej,#Plan1768,,,przybliżona,1642-1656,,
163,"52.248906544967596, 21.00696913967686",Kościół pijarów pw. Matki Bożej Zwycięskiej i św. św. Pryma i Felicjana,#KorpusKadetów,,,dokładnie,1701-1834,,
164,"52.248906544967596, 21.00696913967686",Sobór Trójcy Świętej,#Lindley,,,dokładnie,1834-1916,,
165,"52.248906544967596, 21.00696913967686",Kościół wojskowy,#Lindley,,,dokładnie,1916-1933,,
166,"52.248906544967596, 21.00696913967686",Katedra Polowa Wojska Polskiego,#Fotoplan1935,,,dokładnie,1933-2000,,
167,"52.243147487171626, 21.016637733801034",Teatr Narodowy,#Plan1768,,,dokładnie,1772-1778,,
168,"52.250103, 21.005419",Teatr Narodowy,#KorpusKadetów,,,dokładnie,1778-1791,,
169,"52.250103, 21.005419",Kamienica Ryxa,#KorpusKadetów,,,obok,1778-1791,powiększenie,
170,"52.250103, 21.005419",Teatr Narodowy,#KorpusKadetów,MSM: przyłączono do niego kamienicę Ryxa,,dokładnie,1791-1833,wyburzenie,
171,"52.250103, 21.005419",Składy w budynku dawnego Teatru Narodowego,#KorpusKadetów,,,dokładnie,1833-1884,budowa,
172,"52.249991, 21.005120",Kamienica Doby Nowińskiej,#Lindley,,,dokładnie,1884-1939,,
173,"52.250862, 21.004499",Ulica Nowiniarska,#Tirregaille,,,dokładnie,1762-1819,przedłużenie,
174,"52.250862, 21.004499",Ulica Nowiniarska,#KorpusKadetów,"MSM: Kasia, przedłużenie do Franciszkańskiej",,dokładnie,1819-1829,rozszerzenie,
175,"52.250862, 21.004499",Ulica Nowiniarska,#Lindley,"MSM: Kasia, przy zbiegu z Franciszkańską poszerzono i stworzono plac",,dokładnie,1829-1884,przedłużenie,
176,"52.250862, 21.004499",Ulica Nowiniarska,#Lindley,"MSM: Kasia, rozszerzenie do Długiej",,dokładnie,1884-1945,,
177,"52.249974, 21.004017",Północna oficyna pałacu Krasińskich,#Lindley,,,dokładnie,1695-1918,,
178,"52.249974, 21.004017",Sąd Okręgowy,#Fotoplan1935,"MSM: Kasia, do roztrzygnięcia: w 1938 r. przebito na dole budynku drogę z Długiej do Bonifraterskiej. Kształt się nie zmienił, ale ""przez"" budynek przechodziła ulica. xD Co zrobić?",,dokładnie,1918-1939,,
179,"52.249178, 21.006411",Pomnik Jana Kilińskiego,#Fotoplan1935,,,dokładnie,1936-1942,,
180,"52.24717357787872, 21.004067951019827",Pałac pod Czterema Wiatrami,#Plan1768,,,dokładnie,1680-1808,,
181,"52.24719866504074, 21.004661620142787",Kamienica Teppera,#Plan1768,,,dokładnie,1769-1808,,
182,"52.24717357787872, 21.004067951019827",Hotel Drezdeński,#Lindley,"MSM: Kasia, połączenie budynków 180+181",,dokładnie,1808-1919,,
183,"52.24717357787872, 21.004067951019827","Pałac pod Czterema Wiatrami (Teppera, Dückerta)",#Lindley,,,dokładnie,1919-1927,,
184,"52.24717357787872, 21.004067951019827",Ministerstwo Pracy i Opieki Społecznej,#Fotoplan1935,,,dokładnie,1927-1939,,
185,"52.246698979738014, 21.00470095240363",Pałac Witosławskiego,#Plan1808,,,dokładnie,1776-1808,,
186,"52.246698979738014, 21.00470095240363",Hotel Polski,#Lindley,,,dokładnie,1808-1944,,
187,"52.240000, 21.005727","Wielki Salon (""Altana"")",#Plan1768,,,dokładnie,1724-1804,,
188,"52.240000, 21.005727","Wielki Salon (""Altana"")",#Plan1808,,,dokładnie,1804-1817,,
189,"52.24080816580948, 21.010239681662163",Fontanna w Ogrodzie Saskim,#Lindley,,,dokładnie,1855-2000,,
192,"52.242636, 21.002782",Plac Bankowy,#Lindley,,,dokładnie,1825-1951,,
193,"52.24373201838087, 21.0148257406102","Fontanna (Krakowskie Przedmieście, Plac Bankowy)",#Lindley,"MSM: Kasia, na miejscu pomnika Mickiewicza",,dokładnie,1866-1897,,
194,"52.242545, 21.003471","Fontanna (Krakowskie Przedmieście, Plac Bankowy)",#Fotoplan1935,,,dokładnie,1911-1947,,
195,"52.243768, 21.001139",Ulica Rymarska,#Plan1808,,,dokładnie,1700-1825,,
196,"52.243768, 21.001139",Ulica Rymarska,#Lindley,"MSM: Kasia, ulica krótsza po wytyczeniu Placu Bankowego",,dokładnie,1825-1951,,
