identifiers,iris,names
87,http://purl.org/urbanonto/object_type_7dfd403b-e0e1-4ea2-bb4a-3bb91c04ac57,leprozorium
88,http://purl.org/urbanonto/object_type_3ab8e3ca-5ab2-4134-83de-661777db85b1,linia metra
89,http://purl.org/urbanonto/object_type_83ae40c8-4d52-40e1-a11e-82a1a94ac610,magazyn
90,http://purl.org/urbanonto/object_type_a0c1f8ff-4e16-4bd2-8816-3e5e7d5f9cb4,manufaktura
91,http://purl.org/urbanonto/object_type_a2025e3d-976a-4c3d-95e3-e74184efd88f,meczet
92,http://purl.org/urbanonto/object_type_34ed19dc-7a2b-4742-afe3-cbd800c865af,miejsce poboru op?at
93,http://purl.org/urbanonto/object_type_d2dd4918-bb62-4dfc-9a4c-c7054718a419,miejsce strace?
94,http://purl.org/urbanonto/object_type_df3e96d3-6c4d-49f8-8e04-67dcbf9c9b34,molo
95,http://purl.org/urbanonto/object_type_d2b7a392-1cab-49e6-a022-2297d55c23bb,most
96,http://purl.org/urbanonto/object_type_fa60ddfe-78ff-45fd-ba24-51010f9236b6,mury miejskie
97,http://purl.org/urbanonto/object_type_4d5b12d9-19b6-4397-891e-c476ea81b139,muzeum
98,http://purl.org/urbanonto/object_type_c792cd5f-83ca-4582-b0e3-10fdffcf95ab,m?yn
99,http://purl.org/urbanonto/object_type_df211709-40b8-4feb-a6ac-1993ac18842f,nasyp
100,http://purl.org/urbanonto/object_type_b2c135a0-216c-4270-84a9-98552c4398c0,obiekt o znaczeniu historycznym
101,http://purl.org/urbanonto/object_type_cc2c53be-6de4-4094-ada0-b64ef0ae5290,obserwatorium
102,http://purl.org/urbanonto/object_type_77ce613a-c3b3-4727-8bc1-75df777e5ff4,oczyszczalnia ?cieków
103,http://purl.org/urbanonto/object_type_1ac81bf3-defc-4dd0-ab89-38cc0635eeac,oficyna
104,http://purl.org/urbanonto/object_type_b43c3dec-2187-4ca3-9b5f-85accf59ac5b,ogród
105,http://purl.org/urbanonto/object_type_6076fcc5-3de4-4034-95e7-b582bb684634,opactwo
106,http://purl.org/urbanonto/object_type_5d4c1dcf-d7d4-441c-a931-7503ae4b43eb,opera
107,http://purl.org/urbanonto/object_type_1466742f-15b9-4426-8ab8-f21c4b304d4f,ostroga
108,http://purl.org/urbanonto/object_type_ed6625b1-dbe2-4e50-9792-abb26dde60bf,otulina wokó? miasta
109,http://purl.org/urbanonto/object_type_ab6e4665-8e6e-4e88-8198-413da99e6341,palatium
110,http://purl.org/urbanonto/object_type_cace123e-7364-43b7-b756-eebe60ac4c0f,parcela
111,http://purl.org/urbanonto/object_type_ebb07674-ca92-49a0-9da3-90f840122383,park
112,http://purl.org/urbanonto/object_type_ce2166ef-bf8f-48f3-953a-cd110d8fb7ce,parking
113,http://purl.org/urbanonto/object_type_ff051b75-7b62-44d6-aa04-2c97fa75662f,pawilon
114,http://purl.org/urbanonto/object_type_d67cf313-5537-45e2-ae74-7b4ba44e3078,pa?ac
115,http://purl.org/urbanonto/object_type_d61883a4-c2f9-4b56-b243-b62de3abef82,pensjonat
116,http://purl.org/urbanonto/object_type_f0ada8e8-043a-487f-bcd8-b6f393161e08,peron
117,http://purl.org/urbanonto/object_type_704aafb3-2bce-4597-8258-62ba38c9a1a1,pierzeja
118,http://purl.org/urbanonto/object_type_93c8cca0-8c87-414b-839a-992f2a538da1,plac
119,http://purl.org/urbanonto/object_type_60a698e6-6a31-4bdd-bf9c-1aaa277d8f33,plac zabaw
120,http://purl.org/urbanonto/object_type_67c791d9-5864-4b3b-89e5-ee80389ab761,placówka badawcza
121,http://purl.org/urbanonto/object_type_fd7ae0ff-63fb-459a-b535-58a428511747,planty
122,http://purl.org/urbanonto/object_type_5dfec8a3-84f9-4aac-b687-1cbd030f4dbb,podgrodzie
123,http://purl.org/urbanonto/object_type_488f8944-e0bd-47dd-8230-610fdc15d49d,poligon wojskowy
124,http://purl.org/urbanonto/object_type_1a276b47-16bd-4b07-a642-e76acabe34d9,pomnik
125,http://purl.org/urbanonto/object_type_b1c02f41-b3f1-40e9-9793-c730b56cf7f3,pomost albo molo
126,http://purl.org/urbanonto/object_type_046dbc93-7f3a-4da6-a37b-2eef43c9071b,port wodny
127,http://purl.org/urbanonto/object_type_fa269f67-4b0c-42c9-b9ef-d719a5a3957f,posesja
128,http://purl.org/urbanonto/object_type_55033dcd-e6fe-443f-b615-1ea420555c92,przedszkole
129,http://purl.org/urbanonto/object_type_0d1690ae-e388-41d4-aff2-31bf937cc373,przej?cie podziemne
130,http://purl.org/urbanonto/object_type_632d5c8c-f305-4cbe-996d-ad321c2b09ec,przeprawa promowa
131,http://purl.org/urbanonto/object_type_a333898b-73f1-4ba7-8078-e34e35019f60,przeprawa ?odziami
132,http://purl.org/urbanonto/object_type_d2abb593-b436-4f8e-963d-333e470aad7c,przewód gazowy
133,http://purl.org/urbanonto/object_type_74eff5a9-f958-4033-a6d0-e4fb63ce33a8,przewód kanalizacyjny
134,http://purl.org/urbanonto/object_type_eca60c6f-b783-450a-9404-ee82f5710573,przewód wodoci?gowy
135,http://purl.org/urbanonto/object_type_1441eb43-4105-4f33-813c-31f459a2528b,przytu?ek
136,http://purl.org/urbanonto/object_type_b8354224-3b8c-41cb-9b2b-855bea6a0e5c,pr?gierz
137,http://purl.org/urbanonto/object_type_4bd6e285-753f-459e-9b5b-1a1657291685,rakarnia
138,http://purl.org/urbanonto/object_type_31b9b0e9-68bc-46c0-bb6c-6ba3f85f10c3,restauracja
139,http://purl.org/urbanonto/object_type_c11cb20d-1a61-4312-a780-c45fa09951a0,rezydencja ambasadora
140,http://purl.org/urbanonto/object_type_59e9a63d-a1e6-43ef-bfcf-ed895159b97a,rezydencja biskupia
141,http://purl.org/urbanonto/object_type_94baa37c-07ed-4159-8e62-0bd69515a313,rezydencja prezydencka
142,http://purl.org/urbanonto/object_type_5f621828-99bb-4747-99d6-6242dcb669fb,rogatka
143,http://purl.org/urbanonto/object_type_00dde5ae-0004-499f-bccd-251870d4006c,rozmierzenie lokacyjne
144,http://purl.org/urbanonto/object_type_e73317ef-21fc-441c-919a-925844d2950d,rozszerzenie miasta
145,http://purl.org/urbanonto/object_type_8d82a136-413f-453c-a096-2b6a2ffaa32b,ruina zabytkowa
146,http://purl.org/urbanonto/object_type_16c35144-0a87-4e5f-9235-741e90a76bc5,rynek
147,http://purl.org/urbanonto/object_type_5ec5f208-d56f-421c-9e83-93776dd0119e,rzeka
148,http://purl.org/urbanonto/object_type_c14f0fef-4ea1-4713-865e-9b1d99c5a6de,sala gimnastyczna
149,http://purl.org/urbanonto/object_type_30fc0b77-30ec-4697-9e8d-1f2cf40eef50,schody
150,http://purl.org/urbanonto/object_type_a6144c18-5df4-4be9-9b8e-4e2f55159265,sie? kolejowa
151,http://purl.org/urbanonto/object_type_0f4926a1-a1ee-44b9-a09b-03c0bc396802,silos
152,http://purl.org/urbanonto/object_type_8ca9ab1b-c79c-4bb9-b500-4da2bf350312,skarb
153,http://purl.org/urbanonto/object_type_1315a9b9-2fe9-4668-8b4c-311dbbb54c97,stacja meteorologiczna
154,http://purl.org/urbanonto/object_type_7d38c51a-72e0-43b0-a380-222a72f32d49,stacja metra
155,http://purl.org/urbanonto/object_type_bf299d66-61ed-4b3b-9340-811737a1dbf6,stacja paliw
156,http://purl.org/urbanonto/object_type_e676bd90-924a-4cc4-ae60-f1e14458b793,stacja pomp
157,http://purl.org/urbanonto/object_type_3fbc4842-0936-4ea2-b89d-299a7cda71ad,stadion
158,http://purl.org/urbanonto/object_type_4b313ab4-5059-46a7-b62e-000c7f813666,stajnia
159,http://purl.org/urbanonto/object_type_397b780a-e5fe-464b-8f45-610a265c75ab,staw
160,http://purl.org/urbanonto/object_type_f78faf6d-0612-490b-b0d9-8cbe13f7dbb7,stra? po?arna
161,http://purl.org/urbanonto/object_type_256ce112-40b9-4dfd-a357-0648e04bf76d,"strumie?, potok lub struga"
162,http://purl.org/urbanonto/object_type_7aba2cf5-9d79-4e1d-ac7d-46a8aa3ad7fd,strzelnica
163,http://purl.org/urbanonto/object_type_cb053831-abf1-4007-b84c-a3bb6d807392,synagoga
164,http://purl.org/urbanonto/object_type_cf52d40b-be95-4124-8e06-296e97cf499e,szko?a
165,http://purl.org/urbanonto/object_type_38b9b000-aee9-4d98-aee8-315a89689a87,szko?a XIX wieku
166,http://purl.org/urbanonto/object_type_a2e81396-a1cd-47dc-97d0-6634e02ba079,szko?a wy?sza budynek
167,http://purl.org/urbanonto/object_type_d0008f3a-5765-4541-a619-636f66883974,szko?a wy?sza kompleks
168,http://purl.org/urbanonto/object_type_b1e40e54-a8ec-446d-9385-7b3f30e7d569,szko?a ?redniowieczna i nowo?ytna
169,http://purl.org/urbanonto/object_type_8a287e70-01a2-454d-8e28-85f356330169,szko?a-kompleks
170,http://purl.org/urbanonto/object_type_4768086f-2542-429f-8c3a-e3644a5ce11a,szpital
171,http://purl.org/urbanonto/object_type_f47316c0-1c09-488a-9b19-0063d480ff87,szpital przednowoczesny
172,http://purl.org/urbanonto/object_type_ed4a36df-dc84-4dab-bebe-8542138bffc8,szubienica
173,http://purl.org/urbanonto/object_type_9a254e82-8067-4730-8dfd-cdecab5e86a3,szuwary
174,http://purl.org/urbanonto/object_type_0944c025-a8e5-48c0-8311-e7955821f889,s?d
175,http://purl.org/urbanonto/object_type_38da8ae6-c644-4b33-a311-29e7da8b6805,s?odownia
176,http://purl.org/urbanonto/object_type_f02e5f79-8a07-482f-b284-7873fd5f1b1a,teatr
177,http://purl.org/urbanonto/object_type_e0f1a553-9560-48d7-9998-89bff76410e5,teren sk?adowania odpadów komunalnych
178,http://purl.org/urbanonto/object_type_02332631-d6e9-43f2-87d9-eb411e79317f,teren sk?adowania odpadów przemys?owych
179,http://purl.org/urbanonto/object_type_a8dc449a-b349-4738-9c02-d6676469550b,teren zabudowany
180,http://purl.org/urbanonto/object_type_9fec63be-9676-4208-94cb-b99f0010b365,tunel
181,http://purl.org/urbanonto/object_type_bcb1ecf1-8ebe-49ec-8a98-1b7e34a10e11,ulica
182,http://purl.org/urbanonto/object_type_fd67ba75-80e0-40ef-b56e-638f83e28c98,urz?d pocztowy
183,http://purl.org/urbanonto/object_type_ee761b98-ba78-434f-8cd7-2b2a97a325e0,warsztat
184,http://purl.org/urbanonto/object_type_10cfedcb-03fa-4a62-adee-bb39ff3ead43,wartownia
185,http://purl.org/urbanonto/object_type_8a7aec41-061d-4dbe-96d4-ba85a0d0c4e4,wa? przeciwpowodziowy lub grobla
186,http://purl.org/urbanonto/object_type_07078b2a-5f06-4a53-af73-ce15ca4c2ddb,wiadukt
187,http://purl.org/urbanonto/object_type_ab4e294f-7a2d-43be-8310-d3eca632042a,wiata
188,http://purl.org/urbanonto/object_type_941cfb75-1e17-47dc-8770-b83d7b6d93d6,wie?a ci?nie?
189,http://purl.org/urbanonto/object_type_1c6cc03a-8ae3-4e42-95d1-adfcb0c702b5,woda p?yn?ca
190,http://purl.org/urbanonto/object_type_606bc22a-6984-4aff-b96c-c20f19408004,zabudowania koszarowe
191,http://purl.org/urbanonto/object_type_ef771798-bbf8-4085-b150-70c3be4d3bfb,zabytek nieu?ytkowy
192,http://purl.org/urbanonto/object_type_99f0f5af-ae0e-4b88-a3c9-6f51d1106dc4,zajezdnia autobusowa
193,http://purl.org/urbanonto/object_type_d91808d7-cbc7-4575-848c-15a876b9fc95,zajezdnia tramwajowa
194,http://purl.org/urbanonto/object_type_e6f87ce4-9177-4f06-bb36-a74f90982ad7,zajezdnia trolejbusowa
195,http://purl.org/urbanonto/object_type_afb82a6a-5a23-42a7-a32c-5a0fc425daa9,zak?ad karny
196,http://purl.org/urbanonto/object_type_2130ef99-e232-48f5-bc0c-4b9ab7a6590d,zak?ad poprawczy
197,http://purl.org/urbanonto/object_type_ba7c2dc2-0855-4c45-819d-3da8922ca7ca,zapora
198,http://purl.org/urbanonto/object_type_88ddadf7-708d-4ce2-87a2-7692fb4401f0,za?o?enie pa?acowe
199,http://purl.org/urbanonto/object_type_bdbb9fe6-963f-4b98-9e94-73be11c8bfdd,zbiornik zaporowy
200,http://purl.org/urbanonto/object_type_b5f8193a-7aa4-450b-bdaf-6a28b8c99b6c,zespó? pa?acowy
201,http://purl.org/urbanonto/object_type_1f7aca78-5242-408b-add8-7d5438a1fefc,zespó? sakralny lub klasztorny
202,http://purl.org/urbanonto/object_type_d0a27d3e-2799-4636-8124-fb376f29b7a7,zespó? szpitalny
203,http://purl.org/urbanonto/object_type_9d678687-6418-46af-9851-e69437bad487,zespó? zamkowy
204,http://purl.org/urbanonto/object_type_7bd3ee64-e701-48f8-ab7e-f5788cf0163c,?luza
205,http://purl.org/urbanonto/object_type_838abf8a-3981-4eab-86f3-42ac9b5600b2,??obek
